Rank,Word,Total Importance Score,PC1 Loading,PC2 Loading,PC3 Loading,PC4 Loading,PC5 Loading
186,selection,0.080945,-0.009835,-0.001225,-0.008800,0.033654,0.027432
187,experiences,0.080940,-0.006798,0.009720,-0.022548,-0.014434,0.027439
188,evidence,0.080891,-0.008862,0.015517,-0.023453,0.004223,0.028836
189,discrete,0.080811,-0.014385,-0.013375,0.005091,0.030001,0.017959
190,formulation,0.079883,0.005260,-0.011160,-0.007240,0.023030,0.033192
191,biological,0.079237,0.005043,-0.003379,-0.029731,-0.005333,0.035751
192,function,0.079156,0.005844,0.007739,-0.019581,0.014955,0.031037
193,recent,0.078999,-0.004843,0.012499,-0.021804,-0.005173,0.034680
194,empirical,0.078809,-0.004906,0.005646,-0.021885,-0.020860,0.025512
195,enactive,0.078758,0.004620,-0.002420,-0.014920,-0.029079,0.027718
196,context,0.078639,-0.009184,0.011656,-0.028206,0.009563,0.020030
197,phenomenology,0.078504,-0.007743,0.002686,-0.014051,-0.026165,0.027859
198,insights,0.078345,-0.008304,0.009162,-0.020373,-0.023398,0.017109
199,inference model,0.078344,-0.028101,-0.017843,-0.003393,0.020062,0.008946
200,prediction error,0.078296,-0.002651,0.006236,-0.024063,-0.005165,0.040181
201,activity,0.077927,-0.000462,0.021206,-0.033778,-0.002957,-0.019524
202,scientific,0.077169,0.003215,0.005601,-0.020996,-0.038967,0.008391
203,generation,0.077007,0.001560,0.030100,0.022308,-0.005101,-0.017938
204,risk,0.076761,-0.004548,0.026458,0.017313,0.017154,0.011288
205,attention,0.076718,-0.011677,0.009655,-0.029213,-0.007997,0.018176
206,implications,0.076562,0.003597,0.005517,-0.017452,-0.018031,0.031965
207,adaptive,0.076117,-0.006028,-0.005776,-0.024052,0.028552,0.011710
208,goal directed,0.075950,-0.010169,0.001225,-0.007690,0.048413,0.008454
209,markov blankets,0.075438,0.010783,-0.003061,-0.010102,-0.022573,-0.028918
210,priors,0.074848,0.000461,0.011268,-0.019071,0.009022,0.035025
211,methods,0.074810,-0.003123,0.007399,-0.007224,0.049354,-0.007710
212,bodily,0.073775,-0.003619,0.012678,-0.019461,-0.028134,0.009883
213,potential,0.073213,-0.001155,0.020534,-0.024560,0.000093,0.026871
214,current,0.072659,0.000646,0.033293,0.004098,0.003140,0.031482
215,allocation,0.072406,-0.010253,0.003933,0.005968,0.008490,-0.043761
216,parameters,0.072154,-0.003495,0.007162,-0.012130,0.036032,0.013335
217,present,0.071547,-0.004211,0.005692,-0.017344,0.014623,0.029677
218,associated,0.071389,-0.007203,0.010533,-0.020602,0.007098,0.025953
219,belief,0.071258,-0.005171,0.001530,-0.016700,0.022904,0.024953
220,used,0.070899,-0.000379,0.006427,-0.015118,0.034026,0.014950
221,robotic,0.070716,-0.010275,-0.005926,0.002270,0.038273,-0.013972
